,,,,,,,,,,,,,assay_1,assay_2
Compound,Alias,SMILES,Lot #,Lot Alias,Salt,Solvate,Vendor,PAINS,Bruns-Watson Demerit Score,Assay Count,Plate,Well,percentlabeled,percentlabeled
917105,,CN(C)CCSSCCNC(=O)Cc1ccc(Cl)c(Cl)c1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,D20,,23.4
917200,,CN(C)CCSSCCCNC(=O)CNc1ccccc1,1,354,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,G09,,23.3
918039,,CN(C)CCSSCCNC(=O)[C@H]1CCCN(C1)C(=O)c2cccc(Oc3ccccc3)c2,1,1279,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,P20,,23.3
916883,,Cc1ccc(cc1C(=O)NCCSSCCN)[N+](=O)[O-],1,36,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,G13,,23.2
917728,,C[C@H](NS(=O)(=O)c1ccc(C)cc1)C(=O)N2CCC[C@@H](C2)C(=O)NCCSSCCN(C)C,1,893,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,D08,,23.2
966856,,CN(C)CCSSCCCn1cc(CN2C(=O)c3ccccc3C2=O)nn1,1,,TFA,None,,0,>100,1,SMDC-MPHORE-384-5-02-ECO1,N13,,23.2
916973,,CN(C)CCSSCCCC(=O)Nc1cc([nH]n1)c2cccs2,1,126,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,I14,,23.1
916943,,Cc1ccc(cc1C(=O)NCCCSSCCN)[N+](=O)[O-],1,96,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,C14,,23
917941,,CN(C)CCSSCCNC(=O)c1ccc2[nH]ncc2c1,1,1177,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,L15,,23
916958,,COc1ccc2[nH]c(cc2c1)C(=O)N3CCC(CC3)C(=O)NCCSSCCN,1,111,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,G04,,22.9
994341,,CN(C)CCSSCCNC(=O)C1CN(CC1c2ccc(cc2)C(=O)O)S(=O)(=O)c3cc(Cl)c(O)c(Cl)c3,1,DT95-544b,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,O14,,22.9
960007,,CN(C)CCSSCCN(C)C(=O)Cc1cccc(F)c1,1,,TFA,None,,0,>100,1,SMDC-MPHORE-384-5-02-ECO1,C14,,22.8
917077,,CCOc1ccccc1C(=O)NCCSSCCN(C)C,3,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,P03,,22.8
916857,,CN(C)CCSSCCC(=O)N1CCC(CC1)n2c(O)nc3ccccc23,1,10,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,A21,,22.7
